Site,DateTime,t_date,t_time,d_y,d_m,d_d,t_h,Bar,Rain,SolarRad,TempOut,OutHum,WindSpeed,Energy,Clouds
YMCA,08.01.2014 0:00,2014-01-08,00:00:00,2014.0,1.0,8.0,0.0,750.8,0.0,0,8.0,91,4,0.125,99
YMCA,08.01.2014 1:00,2014-01-08,01:00:00,2014.0,1.0,8.0,1.0,750.9,0.0,0,7.5,93,3,0.15,70
YMCA,08.01.2014 2:00,2014-01-08,02:00:00,2014.0,1.0,8.0,2.0,752.0,0.0,0,7.2,93,2,0.15,72
YMCA,08.01.2014 3:00,2014-01-08,03:00:00,2014.0,1.0,8.0,3.0,752.4,0.0,0,7.1,91,3,0.15,82
YMCA,08.01.2014 4:00,2014-01-08,04:00:00,2014.0,1.0,8.0,4.0,753.1,0.0,0,7.4,92,3,0.15,93
YMCA,08.01.2014 5:00,2014-01-08,05:00:00,2014.0,1.0,8.0,5.0,753.3,0.0,0,7.7,92,2,0.15,67
YMCA,08.01.2014 6:00,2014-01-08,06:00:00,2014.0,1.0,8.0,6.0,753.8,0.0,0,8.1,91,2,0.125,83
YMCA,08.01.2014 7:00,2014-01-08,07:00:00,2014.0,1.0,8.0,7.0,753.9,0.0,0,8.2,92,2,0.125,81
YMCA,08.01.2014 8:00,2014-01-08,08:00:00,2014.0,1.0,8.0,8.0,754.2,0.0,1,8.4,92,3,0.125,64
YMCA,08.01.2014 9:00,2014-01-08,09:00:00,2014.0,1.0,8.0,9.0,755.1,0.0,34,8.8,91,2,0.1,94
YMCA,08.01.2014 10:00,2014-01-08,10:00:00,2014.0,1.0,8.0,10.0,755.4,0.0,111,9.8,88,3,0.225,65
YMCA,08.01.2014 11:00,2014-01-08,11:00:00,2014.0,1.0,8.0,11.0,755.5,0.0,76,10.1,87,3,0.225,92
YMCA,08.01.2014 12:00,2014-01-08,12:00:00,2014.0,1.0,8.0,12.0,755.5,0.0,103,10.3,85,2,0.1,61
YMCA,08.01.2014 13:00,2014-01-08,13:00:00,2014.0,1.0,8.0,13.0,755.0,0.0,165,10.8,83,3,0.6,96
YMCA,08.01.2014 14:00,2014-01-08,14:00:00,2014.0,1.0,8.0,14.0,754.9,0.0,84,9.8,85,3,0.575,65
YMCA,08.01.2014 15:00,2014-01-08,15:00:00,2014.0,1.0,8.0,15.0,754.5,0.0,51,9.4,87,2,0.175,65
YMCA,08.01.2014 16:00,2014-01-08,16:00:00,2014.0,1.0,8.0,16.0,754.2,0.0,9,9.2,89,3,0.15,62
YMCA,08.01.2014 17:00,2014-01-08,17:00:00,2014.0,1.0,8.0,17.0,753.5,0.0,0,8.8,91,4,0.125,88
YMCA,08.01.2014 18:00,2014-01-08,18:00:00,2014.0,1.0,8.0,18.0,752.9,0.0,0,8.5,93,6,0.125,77
YMCA,08.01.2014 19:00,2014-01-08,19:00:00,2014.0,1.0,8.0,19.0,752.6,0.0,0,8.7,92,6,0.125,95
YMCA,08.01.2014 20:00,2014-01-08,20:00:00,2014.0,1.0,8.0,20.0,751.5,0.0,0,9.2,92,8,0.125,86
YMCA,08.01.2014 21:00,2014-01-08,21:00:00,2014.0,1.0,8.0,21.0,751.1,0.0,0,9.7,94,5,0.125,74
YMCA,08.01.2014 22:00,2014-01-08,22:00:00,2014.0,1.0,8.0,22.0,750.3,0.0,0,10.6,93,5,0.125,93
YMCA,08.01.2014 23:00,2014-01-08,23:00:00,2014.0,1.0,8.0,23.0,749.7,0.0,0,10.7,95,4,0.125,96
YMCA,09.01.2014 0:00,2014-01-09,00:00:00,2014.0,1.0,9.0,0.0,748.9,0.0,0,10.8,95,4,0.125,96
YMCA,09.01.2014 1:00,2014-01-09,01:00:00,2014.0,1.0,9.0,1.0,748.1,0.0,0,10.8,95,4,0.15,71
YMCA,09.01.2014 2:00,2014-01-09,02:00:00,2014.0,1.0,9.0,2.0,747.1,0.0,0,10.8,94,5,0.15,62
YMCA,09.01.2014 3:00,2014-01-09,03:00:00,2014.0,1.0,9.0,3.0,746.3,0.0,0,10.9,93,3,0.15,86
YMCA,09.01.2014 4:00,2014-01-09,04:00:00,2014.0,1.0,9.0,4.0,745.6,0.0,0,11.4,89,6,0.125,70
YMCA,09.01.2014 5:00,2014-01-09,05:00:00,2014.0,1.0,9.0,5.0,744.9,0.0,0,11.0,87,7,0.15,61
YMCA,09.01.2014 6:00,2014-01-09,06:00:00,2014.0,1.0,9.0,6.0,744.7,0.0,0,10.2,82,6,0.125,99
YMCA,09.01.2014 7:00,2014-01-09,07:00:00,2014.0,1.0,9.0,7.0,744.6,0.0,0,9.9,86,7,0.15,62
YMCA,09.01.2014 8:00,2014-01-09,08:00:00,2014.0,1.0,9.0,8.0,744.8,0.0,0,9.9,84,5,0.125,62
YMCA,09.01.2014 9:00,2014-01-09,09:00:00,2014.0,1.0,9.0,9.0,745.6,0.0,8,9.6,82,5,0.15,66
YMCA,09.01.2014 10:00,2014-01-09,10:00:00,2014.0,1.0,9.0,10.0,746.4,0.0,18,8.9,82,4,0.125,91
YMCA,09.01.2014 11:00,2014-01-09,11:00:00,2014.0,1.0,9.0,11.0,747.1,0.0,40,8.6,77,7,0.125,64
YMCA,09.01.2014 12:00,2014-01-09,12:00:00,2014.0,1.0,9.0,12.0,747.8,0.0,212,8.3,76,4,0.05,83
YMCA,09.01.2014 13:00,2014-01-09,13:00:00,2014.0,1.0,9.0,13.0,748.2,0.0,214,8.4,73,5,1.375,92
YMCA,09.01.2014 14:00,2014-01-09,14:00:00,2014.0,1.0,9.0,14.0,749.1,0.0,94,8.3,72,6,0.35,61
YMCA,09.01.2014 15:00,2014-01-09,15:00:00,2014.0,1.0,9.0,15.0,750.0,0.0,60,8.1,72,5,0.05,90
YMCA,09.01.2014 16:00,2014-01-09,16:00:00,2014.0,1.0,9.0,16.0,750.6,0.0,18,7.4,75,2,0.125,81
YMCA,09.01.2014 17:00,2014-01-09,17:00:00,2014.0,1.0,9.0,17.0,751.2,0.0,0,6.4,79,1,0.125,97
YMCA,09.01.2014 18:00,2014-01-09,18:00:00,2014.0,1.0,9.0,18.0,751.7,0.0,0,6.1,80,1,0.125,79
YMCA,09.01.2014 19:00,2014-01-09,19:00:00,2014.0,1.0,9.0,19.0,752.2,0.0,0,5.2,82,1,0.125,72
YMCA,09.01.2014 20:00,2014-01-09,20:00:00,2014.0,1.0,9.0,20.0,752.8,0.0,0,5.0,83,2,0.125,66
YMCA,09.01.2014 21:00,2014-01-09,21:00:00,2014.0,1.0,9.0,21.0,753.1,0.0,0,4.7,86,2,0.125,93
YMCA,09.01.2014 22:00,2014-01-09,22:00:00,2014.0,1.0,9.0,22.0,753.6,0.0,0,4.3,87,1,0.15,65
