date_time,date,time,d_y,d_m,d_d,t_h,pressure,precipitation,solar_radiation,temperature,wind_speed,humidity,clouds,energy
01.03.2014 00:00,2014-03-01,00:00:00,2014,3,1,0,747.36135,0.449,0.0,5.0,12.8,94.0,100.0,0.0
01.03.2014 01:00,2014-03-01,01:00:00,2014,3,1,1,747.36135,1.296,0.0,4.7,11.9,95.0,100.0,0.0
01.03.2014 02:00,2014-03-01,02:00:00,2014,3,1,2,747.28635,1.417,0.0,3.9,11.1,96.0,100.0,0.0
01.03.2014 03:00,2014-03-01,03:00:00,2014,3,1,3,747.13634,1.502,0.0,3.6,9.8,97.0,100.0,0.0
01.03.2014 04:00,2014-03-01,04:00:00,2014,3,1,4,747.06133,1.601,0.0,3.4,9.9,97.0,100.0,0.0
01.03.2014 05:00,2014-03-01,05:00:00,2014,3,1,5,747.13634,1.482,0.0,3.4,9.2,97.0,100.0,0.0
01.03.2014 06:00,2014-03-01,06:00:00,2014,3,1,6,746.91132,0.837,0.0,3.5,8.2,96.0,100.0,0.0
01.03.2014 07:00,2014-03-01,07:00:00,2014,3,1,7,746.83631,0.389,0.88421,3.1,7.4,97.0,100.0,3.82258
01.03.2014 08:00,2014-03-01,08:00:00,2014,3,1,8,746.83631,0.004,38.57469,3.0,9.4,95.0,100.0,235.07574
01.03.2014 09:00,2014-03-01,09:00:00,2014,3,1,9,746.91132,0.677,128.51709,3.4,9.4,91.0,100.0,702.34074
01.03.2014 10:00,2014-03-01,10:00:00,2014,3,1,10,746.7613,1.105,233.99262,4.4,8.5,85.0,100.0,1146.73675
01.03.2014 11:00,2014-03-01,11:00:00,2014,3,1,11,746.7613,1.303,270.90856,5.8,10.1,77.0,100.0,1303.14162
01.03.2014 12:00,2014-03-01,12:00:00,2014,3,1,12,746.53629,1.451,354.41413,6.8,11.0,70.0,100.0,1828.77536
01.03.2014 13:00,2014-03-01,13:00:00,2014,3,1,13,746.31127,2.023,208.37362,7.3,10.3,65.0,100.0,844.94192
