date_time,date,time,d_y,d_m,d_d,t_h,pressure,precipitation,solar_radiation,temperature,wind_speed,humidity,clouds,energy
01.06.2018 00:00,2018-06-01,00:00:00,2018,6,1,0,707.53308,0.0,0.0,14.8,1.21,66.0,2.0,0.0
01.06.2018 01:00,2018-06-01,01:00:00,2018,6,1,1,707.53308,0.0,0.0,15.3,1.53,64.0,5.0,0.0
01.06.2018 02:00,2018-06-01,02:00:00,2018,6,1,2,707.30807,0.0,0.0,14.8,1.22,65.0,14.0,0.0
01.06.2018 03:00,2018-06-01,03:00:00,2018,6,1,3,707.45808,0.0,0.0,14.4,0.41,67.0,14.0,0.0
01.06.2018 04:00,2018-06-01,04:00:00,2018,6,1,4,707.45808,0.0,0.0,13.8,0.36,69.0,7.0,0.0
01.06.2018 05:00,2018-06-01,05:00:00,2018,6,1,5,707.23306,0.0,1.0,12.0,0.42,78.0,15.0,4.37593
01.06.2018 06:00,2018-06-01,06:00:00,2018,6,1,6,707.60809,0.0,67.0,13.0,0.28,78.0,19.0,271.31346
01.06.2018 07:00,2018-06-01,07:00:00,2018,6,1,7,708.05813,0.0,219.0,15.2,0.36,70.0,21.0,868.66334
01.06.2018 08:00,2018-06-01,08:00:00,2018,6,1,8,708.50816,0.0,387.0,17.7,0.61,59.0,16.0,1554.74169
01.06.2018 09:00,2018-06-01,09:00:00,2018,6,1,9,708.65818,0.0,583.0,20.0,1.2,51.0,20.0,2259.7981
01.06.2018 10:00,2018-06-01,10:00:00,2018,6,1,10,708.50816,0.0,745.0,21.5,1.6,47.0,76.0,2436.0062
01.06.2018 11:00,2018-06-01,11:00:00,2018,6,1,11,708.73318,0.1,788.0,22.0,2.93,47.0,57.0,2831.91427
01.06.2018 12:00,2018-06-01,12:00:00,2018,6,1,12,708.58317,0.0,863.0,23.1,3.26,43.0,39.0,2946.23197
01.06.2018 13:00,2018-06-01,13:00:00,2018,6,1,13,707.90812,0.0,809.0,23.6,3.45,42.0,35.0,2791.45632
01.06.2018 14:00,2018-06-01,14:00:00,2018,6,1,14,707.60809,0.0,701.0,23.9,3.32,41.0,39.0,2506.12814
01.06.2018 15:00,2018-06-01,15:00:00,2018,6,1,15,707.23306,0.0,544.0,23.8,3.31,40.0,37.0,1791.5235
01.06.2018 16:00,2018-06-01,16:00:00,2018,6,1,16,706.78302,0.2,504.0,24.3,3.02,37.0,22.0,1892.16271
01.06.2018 17:00,2018-06-01,17:00:00,2018,6,1,17,706.558,0.0,349.0,23.4,3.47,40.0,32.0,1160.98446
01.06.2018 18:00,2018-06-01,18:00:00,2018,6,1,18,706.558,0.0,231.0,22.7,2.79,40.0,37.0,777.84195
01.06.2018 19:00,2018-06-01,19:00:00,2018,6,1,19,706.70802,0.0,121.0,20.8,1.41,47.0,27.0,452.57767
01.06.2018 20:00,2018-06-01,20:00:00,2018,6,1,20,706.78302,0.0,11.0,19.2,0.41,56.0,26.0,42.95684
01.06.2018 21:00,2018-06-01,21:00:00,2018,6,1,21,706.78302,0.0,0.0,17.0,1.14,70.0,30.0,0.0
01.06.2018 22:00,2018-06-01,22:00:00,2018,6,1,22,707.53308,0.0,0.0,16.4,0.99,61.0,46.0,0.0
01.06.2018 23:00,2018-06-01,23:00:00,2018,6,1,23,707.30807,0.0,0.0,16.1,1.39,62.0,39.0,0.0
02.06.2018 00:00,2018-06-02,00:00:00,2018,6,2,0,707.15805,0.0,0.0,15.9,2.14,65.0,38.0,0.0
02.06.2018 01:00,2018-06-02,01:00:00,2018,6,2,1,707.08305,0.0,0.0,15.8,2.48,67.0,31.0,0.0
02.06.2018 02:00,2018-06-02,02:00:00,2018,6,2,2,706.93304,0.0,0.0,15.4,2.97,71.0,41.0,0.0
02.06.2018 03:00,2018-06-02,03:00:00,2018,6,2,3,706.70802,1.2,0.0,14.2,3.28,82.0,37.0,0.0
02.06.2018 04:00,2018-06-02,04:00:00,2018,6,2,4,706.78302,2.4,0.0,13.9,3.44,87.0,39.0,0.0
02.06.2018 05:00,2018-06-02,05:00:00,2018,6,2,5,707.00804,2.6,0.0,13.9,3.14,87.0,33.0,0.0
02.06.2018 06:00,2018-06-02,06:00:00,2018,6,2,6,707.15805,1.2,37.0,13.9,3.06,87.0,36.0,142.33451
02.06.2018 07:00,2018-06-02,07:00:00,2018,6,2,7,707.30807,0.6,175.0,14.5,2.62,87.0,36.0,746.62081
02.06.2018 08:00,2018-06-02,08:00:00,2018,6,2,8,707.45808,0.3,307.0,15.9,2.39,79.0,47.0,1373.56253
02.06.2018 09:00,2018-06-02,09:00:00,2018,6,2,9,707.83311,0.2,437.0,17.6,2.2,68.0,38.0,1891.63768
02.06.2018 10:00,2018-06-02,10:00:00,2018,6,2,10,708.28315,0.0,557.0,19.4,1.22,59.0,45.0,2193.43526
02.06.2018 11:00,2018-06-02,11:00:00,2018,6,2,11,707.98312,0.0,713.0,20.8,1.5,50.0,31.0,2452.10211
02.06.2018 12:00,2018-06-02,12:00:00,2018,6,2,12,707.6831,0.0,915.0,22.1,1.84,45.0,29.0,3105.43714
02.06.2018 13:00,2018-06-02,13:00:00,2018,6,2,13,707.45808,0.0,943.0,23.6,1.71,39.0,29.0,3462.28871
02.06.2018 14:00,2018-06-02,14:00:00,2018,6,2,14,706.70802,0.0,865.0,23.5,1.61,39.0,25.0,2986.37864
02.06.2018 15:00,2018-06-02,15:00:00,2018,6,2,15,706.18297,0.0,688.0,23.2,1.22,42.0,35.0,2364.46028
02.06.2018 16:00,2018-06-02,16:00:00,2018,6,2,16,706.25798,0.0,499.0,22.5,3.12,43.0,45.0,1939.96494
02.06.2018 17:00,2018-06-02,17:00:00,2018,6,2,17,706.25798,0.7,293.0,20.6,4.47,49.0,59.0,1148.8908
02.06.2018 18:00,2018-06-02,18:00:00,2018,6,2,18,706.10797,0.8,146.0,17.6,3.45,74.0,29.0,566.65164
02.06.2018 19:00,2018-06-02,19:00:00,2018,6,2,19,706.483,0.0,105.0,17.0,1.8,74.0,44.0,475.57879
