date_time,date,time,d_y,d_m,d_d,t_h,pressure,precipitation,solar_radiation,temperature,wind_speed,humidity,clouds,energy
01.06.2019 00:00,2019-06-01,00:00:00,2019,6,1,0,754.0369,0.0,0.0,7.4,2.28,78.0,100.0,0.0
01.06.2019 01:00,2019-06-01,01:00:00,2019,6,1,1,754.0369,0.0,0.0,7.3,1.84,79.0,100.0,0.0
01.06.2019 02:00,2019-06-01,02:00:00,2019,6,1,2,754.18691,0.1,0.0,7.1,1.43,80.0,100.0,0.0
01.06.2019 03:00,2019-06-01,03:00:00,2019,6,1,3,754.0369,0.1,0.0,6.6,0.81,80.0,98.0,0.0
01.06.2019 04:00,2019-06-01,04:00:00,2019,6,1,4,753.88689,0.1,0.0,6.4,0.36,81.0,100.0,0.0
01.06.2019 05:00,2019-06-01,05:00:00,2019,6,1,5,753.81188,0.1,7.0,6.7,0.41,79.0,100.0,28.51548
01.06.2019 06:00,2019-06-01,06:00:00,2019,6,1,6,753.9619,0.2,21.0,6.6,0.72,78.0,100.0,75.37773
01.06.2019 07:00,2019-06-01,07:00:00,2019,6,1,7,754.0369,0.4,87.0,6.7,1.08,78.0,100.0,297.91348
01.06.2019 08:00,2019-06-01,08:00:00,2019,6,1,8,754.0369,0.4,156.0,7.6,1.24,75.0,100.0,689.56995
01.06.2019 09:00,2019-06-01,09:00:00,2019,6,1,9,754.18691,0.4,257.0,7.3,1.04,79.0,100.0,1216.85424
01.06.2019 10:00,2019-06-01,10:00:00,2019,6,1,10,754.11191,0.4,360.0,8.9,1.58,71.0,71.0,1706.24716
01.06.2019 11:00,2019-06-01,11:00:00,2019,6,1,11,754.11191,0.3,476.0,9.1,1.04,67.0,48.0,1725.15779
01.06.2019 12:00,2019-06-01,12:00:00,2019,6,1,12,754.26192,0.3,584.0,9.4,1.02,64.0,45.0,2247.03974
01.06.2019 13:00,2019-06-01,13:00:00,2019,6,1,13,754.26192,0.2,656.0,9.6,1.28,64.0,44.0,3001.09544
01.06.2019 14:00,2019-06-01,14:00:00,2019,6,1,14,754.18691,0.3,652.0,10.1,1.5,64.0,51.0,2821.84718
01.06.2019 15:00,2019-06-01,15:00:00,2019,6,1,15,753.9619,0.5,604.0,10.2,2.04,66.0,66.0,2911.3066
01.06.2019 16:00,2019-06-01,16:00:00,2019,6,1,16,753.81188,1.2,450.0,9.3,2.7,67.0,99.0,1584.13245
01.06.2019 17:00,2019-06-01,17:00:00,2019,6,1,17,753.66187,0.4,366.0,8.7,3.4,71.0,100.0,1355.54558
01.06.2019 18:00,2019-06-01,18:00:00,2019,6,1,18,753.58687,0.2,309.0,8.5,3.54,74.0,100.0,1275.40199
01.06.2019 19:00,2019-06-01,19:00:00,2019,6,1,19,753.58687,0.0,315.0,8.5,3.06,74.0,53.0,1473.81111
01.06.2019 20:00,2019-06-01,20:00:00,2019,6,1,20,753.66187,0.0,238.0,7.9,2.28,76.0,27.0,885.04555
01.06.2019 21:00,2019-06-01,21:00:00,2019,6,1,21,753.73688,0.0,146.0,7.6,1.49,76.0,3.0,653.70856
01.06.2019 22:00,2019-06-01,22:00:00,2019,6,1,22,753.9619,0.0,72.0,7.4,0.51,73.0,6.0,355.41578
01.06.2019 23:00,2019-06-01,23:00:00,2019,6,1,23,754.18691,0.0,20.0,6.9,0.58,75.0,8.0,98.61006
02.06.2019 00:00,2019-06-02,00:00:00,2019,6,2,0,754.11191,0.0,0.0,6.5,0.63,77.0,33.0,0.0
02.06.2019 01:00,2019-06-02,01:00:00,2019,6,2,1,754.18691,0.0,0.0,6.1,0.57,77.0,44.0,0.0
02.06.2019 02:00,2019-06-02,02:00:00,2019,6,2,2,754.11191,0.0,0.0,5.1,0.71,81.0,72.0,0.0
02.06.2019 03:00,2019-06-02,03:00:00,2019,6,2,3,754.11191,0.0,0.0,5.6,0.64,75.0,80.0,0.0
02.06.2019 04:00,2019-06-02,04:00:00,2019,6,2,4,753.73688,0.0,1.0,5.3,0.72,76.0,66.0,3.5942
02.06.2019 05:00,2019-06-02,05:00:00,2019,6,2,5,753.66187,0.0,26.0,4.4,0.32,81.0,65.0,122.44018
02.06.2019 06:00,2019-06-02,06:00:00,2019,6,2,6,753.51186,0.0,81.0,5.2,1.26,80.0,50.0,319.59565
02.06.2019 07:00,2019-06-02,07:00:00,2019,6,2,7,753.58687,0.0,149.0,5.5,1.58,77.0,32.0,632.68661
02.06.2019 08:00,2019-06-02,08:00:00,2019,6,2,8,753.43685,0.0,236.0,6.6,2.31,69.0,27.0,955.78242
02.06.2019 09:00,2019-06-02,09:00:00,2019,6,2,9,753.28684,0.0,332.0,6.9,3.22,65.0,36.0,1196.61762
02.06.2019 10:00,2019-06-02,10:00:00,2019,6,2,10,753.43685,0.2,434.0,7.8,3.35,63.0,79.0,1765.31171
02.06.2019 11:00,2019-06-02,11:00:00,2019,6,2,11,752.98682,0.3,500.0,7.9,3.73,59.0,74.0,1939.92555
02.06.2019 12:00,2019-06-02,12:00:00,2019,6,2,12,752.91181,0.0,531.0,8.4,4.12,55.0,79.0,1711.07382
02.06.2019 13:00,2019-06-02,13:00:00,2019,6,2,13,752.61179,0.1,695.0,8.8,4.09,52.0,85.0,2962.74888
02.06.2019 14:00,2019-06-02,14:00:00,2019,6,2,14,752.31176,0.0,738.0,9.2,4.03,49.0,100.0,2670.84831
02.06.2019 15:00,2019-06-02,15:00:00,2019,6,2,15,752.01174,0.0,717.0,9.6,3.7,47.0,100.0,2999.25038
02.06.2019 16:00,2019-06-02,16:00:00,2019,6,2,16,751.48669,0.0,654.0,9.7,3.86,46.0,100.0,2463.53018
02.06.2019 17:00,2019-06-02,17:00:00,2019,6,2,17,751.11166,0.0,574.0,9.9,4.22,47.0,100.0,1815.22791
02.06.2019 18:00,2019-06-02,18:00:00,2019,6,2,18,750.88664,0.0,416.0,9.9,4.7,46.0,100.0,1512.04856
02.06.2019 19:00,2019-06-02,19:00:00,2019,6,2,19,750.73663,0.0,250.0,9.6,5.51,47.0,100.0,826.0734
