date_time,date,time,d_y,d_m,d_d,t_h,pressure,precipitation,solar_radiation,temperature,wind_speed,humidity,clouds,energy
08.01.2014 0:00,2014-01-08,00:00:00,2014,1,8,0,750.8,0.0,0,8.0,4,91,99,0.125
08.01.2014 1:00,2014-01-08,01:00:00,2014,1,8,1,750.9,0.0,0,7.5,3,93,70,0.15
08.01.2014 2:00,2014-01-08,02:00:00,2014,1,8,2,752.0,0.0,0,7.2,2,93,72,0.15
08.01.2014 3:00,2014-01-08,03:00:00,2014,1,8,3,752.4,0.0,0,7.1,3,91,82,0.15
08.01.2014 4:00,2014-01-08,04:00:00,2014,1,8,4,753.1,0.0,0,7.4,3,92,93,0.15
08.01.2014 5:00,2014-01-08,05:00:00,2014,1,8,5,753.3,0.0,0,7.7,2,92,67,0.15
08.01.2014 6:00,2014-01-08,06:00:00,2014,1,8,6,753.8,0.0,0,8.1,2,91,83,0.125
08.01.2014 7:00,2014-01-08,07:00:00,2014,1,8,7,753.9,0.0,0,8.2,2,92,81,0.125
08.01.2014 8:00,2014-01-08,08:00:00,2014,1,8,8,754.2,0.0,1,8.4,3,92,64,0.125
08.01.2014 9:00,2014-01-08,09:00:00,2014,1,8,9,755.1,0.0,34,8.8,2,91,94,0.1
08.01.2014 10:00,2014-01-08,10:00:00,2014,1,8,10,755.4,0.0,111,9.8,3,88,65,0.225
08.01.2014 11:00,2014-01-08,11:00:00,2014,1,8,11,755.5,0.0,76,10.1,3,87,92,0.225
08.01.2014 12:00,2014-01-08,12:00:00,2014,1,8,12,755.5,0.0,103,10.3,2,85,61,0.1
08.01.2014 13:00,2014-01-08,13:00:00,2014,1,8,13,755.0,0.0,165,10.8,3,83,96,0.6
08.01.2014 14:00,2014-01-08,14:00:00,2014,1,8,14,754.9,0.0,84,9.8,3,85,65,0.575
08.01.2014 15:00,2014-01-08,15:00:00,2014,1,8,15,754.5,0.0,51,9.4,2,87,65,0.175
08.01.2014 16:00,2014-01-08,16:00:00,2014,1,8,16,754.2,0.0,9,9.2,3,89,62,0.15
08.01.2014 17:00,2014-01-08,17:00:00,2014,1,8,17,753.5,0.0,0,8.8,4,91,88,0.125
08.01.2014 18:00,2014-01-08,18:00:00,2014,1,8,18,752.9,0.0,0,8.5,6,93,77,0.125
08.01.2014 19:00,2014-01-08,19:00:00,2014,1,8,19,752.6,0.0,0,8.7,6,92,95,0.125
08.01.2014 20:00,2014-01-08,20:00:00,2014,1,8,20,751.5,0.0,0,9.2,8,92,86,0.125
08.01.2014 21:00,2014-01-08,21:00:00,2014,1,8,21,751.1,0.0,0,9.7,5,94,74,0.125
08.01.2014 22:00,2014-01-08,22:00:00,2014,1,8,22,750.3,0.0,0,10.6,5,93,93,0.125
08.01.2014 23:00,2014-01-08,23:00:00,2014,1,8,23,749.7,0.0,0,10.7,4,95,96,0.125
09.01.2014 0:00,2014-01-09,00:00:00,2014,1,9,0,748.9,0.0,0,10.8,4,95,96,0.125
09.01.2014 1:00,2014-01-09,01:00:00,2014,1,9,1,748.1,0.0,0,10.8,4,95,71,0.15
09.01.2014 2:00,2014-01-09,02:00:00,2014,1,9,2,747.1,0.0,0,10.8,5,94,62,0.15
09.01.2014 3:00,2014-01-09,03:00:00,2014,1,9,3,746.3,0.0,0,10.9,3,93,86,0.15
09.01.2014 4:00,2014-01-09,04:00:00,2014,1,9,4,745.6,0.0,0,11.4,6,89,70,0.125
09.01.2014 5:00,2014-01-09,05:00:00,2014,1,9,5,744.9,0.0,0,11.0,7,87,61,0.15
09.01.2014 6:00,2014-01-09,06:00:00,2014,1,9,6,744.7,0.0,0,10.2,6,82,99,0.125
09.01.2014 7:00,2014-01-09,07:00:00,2014,1,9,7,744.6,0.0,0,9.9,7,86,62,0.15
09.01.2014 8:00,2014-01-09,08:00:00,2014,1,9,8,744.8,0.0,0,9.9,5,84,62,0.125
09.01.2014 9:00,2014-01-09,09:00:00,2014,1,9,9,745.6,0.0,8,9.6,5,82,66,0.15
09.01.2014 10:00,2014-01-09,10:00:00,2014,1,9,10,746.4,0.0,18,8.9,4,82,91,0.125
09.01.2014 11:00,2014-01-09,11:00:00,2014,1,9,11,747.1,0.0,40,8.6,7,77,64,0.125
09.01.2014 12:00,2014-01-09,12:00:00,2014,1,9,12,747.8,0.0,212,8.3,4,76,83,0.05
09.01.2014 13:00,2014-01-09,13:00:00,2014,1,9,13,748.2,0.0,214,8.4,5,73,92,1.375
09.01.2014 14:00,2014-01-09,14:00:00,2014,1,9,14,749.1,0.0,94,8.3,6,72,61,0.35
09.01.2014 15:00,2014-01-09,15:00:00,2014,1,9,15,750.0,0.0,60,8.1,5,72,90,0.05
09.01.2014 16:00,2014-01-09,16:00:00,2014,1,9,16,750.6,0.0,18,7.4,2,75,81,0.125
09.01.2014 17:00,2014-01-09,17:00:00,2014,1,9,17,751.2,0.0,0,6.4,1,79,97,0.125
09.01.2014 18:00,2014-01-09,18:00:00,2014,1,9,18,751.7,0.0,0,6.1,1,80,79,0.125
09.01.2014 19:00,2014-01-09,19:00:00,2014,1,9,19,752.2,0.0,0,5.2,1,82,72,0.125
09.01.2014 20:00,2014-01-09,20:00:00,2014,1,9,20,752.8,0.0,0,5.0,2,83,66,0.125
09.01.2014 21:00,2014-01-09,21:00:00,2014,1,9,21,753.1,0.0,0,4.7,2,86,93,0.125
09.01.2014 22:00,2014-01-09,22:00:00,2014,1,9,22,753.6,0.0,0,4.3,1,87,65,0.15
09.01.2014 23:00,2014-01-09,23:00:00,2014,1,9,23,753.8,0.0,0,4.1,1,88,89,0.125
10.01.2014 0:00,2014-01-10,00:00:00,2014,1,10,0,753.9,0.0,0,3.7,0,89,84,0.125
10.01.2014 1:00,2014-01-10,01:00:00,2014,1,10,1,754.0,0.0,0,4.0,1,89,72,0.125
10.01.2014 2:00,2014-01-10,02:00:00,2014,1,10,2,754.4,0.0,0,3.7,1,90,94,0.15
10.01.2014 3:00,2014-01-10,03:00:00,2014,1,10,3,754.4,0.0,0,3.4,0,91,66,0.125
10.01.2014 4:00,2014-01-10,04:00:00,2014,1,10,4,754.6,0.0,0,3.3,0,92,87,0.125
10.01.2014 5:00,2014-01-10,05:00:00,2014,1,10,5,754.6,0.0,0,3.2,0,92,89,0.125
10.01.2014 6:00,2014-01-10,06:00:00,2014,1,10,6,754.7,0.0,0,2.3,0,93,95,0.125
10.01.2014 7:00,2014-01-10,07:00:00,2014,1,10,7,755.0,0.0,0,2.4,0,94,93,0.125
10.01.2014 8:00,2014-01-10,08:00:00,2014,1,10,8,755.4,0.0,0,1.7,0,94,73,0.125
